"時間(秒)","総合COP左右X(cm)","総合COP前後Y(cm)","左プレートCOP左右X(cm)","左プレートCOP前後Y(cm)","左荷重(kgf)","右プレートCOP左右X(cm)","右プレートCOP前後Y(cm)","右荷重(kgf)","","","",""
0.690,-0.893,-3.681,"---.---","---.---",50.523,"---.---","---.---","---.---","","","",""
0.700,-0.937,-3.701,"---.---","---.---",50.518,"---.---","---.---","---.---","","","",""
0.710,-0.988,-3.719,"---.---","---.---",50.508,"---.---","---.---","---.---","","","",""
0.720,-1.034,-3.732,"---.---","---.---",50.508,"---.---","---.---","---.---","","","",""
0.730,-1.070,-3.749,"---.---","---.---",50.528,"---.---","---.---","---.---","","","",""
0.740,-1.091,-3.761,"---.---","---.---",50.528,"---.---","---.---","---.---","","","",""
0.750,-1.096,-3.761,"---.---","---.---",50.528,"---.---","---.---","---.---","","","",""
0.760,-1.089,-3.739,"---.---","---.---",50.542,"---.---","---.---","---.---","","","",""
0.770,-1.074,-3.709,"---.---","---.---",50.537,"---.---","---.---","---.---","","","",""
0.780,-1.058,-3.684,"---.---","---.---",50.518,"---.---","---.---","---.---","","","",""
0.790,-1.037,-3.677,"---.---","---.---",50.484,"---.---","---.---","---.---","","","",""
0.800,-1.006,-3.679,"---.---","---.---",50.435,"---.---","---.---","---.---","","","",""
0.810,-0.968,-3.686,"---.---","---.---",50.410,"---.---","---.---","---.---","","","",""
0.820,-0.922,-3.695,"---.---","---.---",50.415,"---.---","---.---","---.---","","","",""
0.830,-0.863,-3.700,"---.---","---.---",50.474,"---.---","---.---","---.---","","","",""
0.840,-0.807,-3.707,"---.---","---.---",50.508,"---.---","---.---","---.---","","","",""
0.850,-0.758,-3.711,"---.---","---.---",50.528,"---.---","---.---","---.---","","","",""
0.860,-0.700,-3.711,"---.---","---.---",50.528,"---.---","---.---","---.---","","","",""
0.870,-0.630,-3.728,"---.---","---.---",50.547,"---.---","---.---","---.---","","","",""
0.880,-0.547,-3.743,"---.---","---.---",50.601,"---.---","---.---","---.---","","","",""
0.890,-0.462,-3.762,"---.---","---.---",50.669,"---.---","---.---","---.---","","","",""
0.900,-0.385,-3.772,"---.---","---.---",50.718,"---.---","---.---","---.---","","","",""
0.910,-0.335,-3.770,"---.---","---.---",50.689,"---.---","---.---","---.---","","","",""
0.920,-0.304,-3.762,"---.---","---.---",50.591,"---.---","---.---","---.---","","","",""
0.930,-0.271,-3.746,"---.---","---.---",50.513,"---.---","---.---","---.---","","","",""
0.940,-0.242,-3.735,"---.---","---.---",50.464,"---.---","---.---","---.---","","","",""
0.950,-0.206,-3.732,"---.---","---.---",50.449,"---.---","---.---","---.---","","","",""
0.960,-0.169,-3.726,"---.---","---.---",50.479,"---.---","---.---","---.---","","","",""
0.970,-0.143,-3.729,"---.---","---.---",50.493,"---.---","---.---","---.---","","","",""
0.980,-0.123,-3.728,"---.---","---.---",50.508,"---.---","---.---","---.---","","","",""
0.990,-0.111,-3.726,"---.---","---.---",50.479,"---.---","---.---","---.---","","","",""
1.000,-0.099,-3.721,"---.---","---.---",50.454,"---.---","---.---","---.---","","","",""
1.010,-0.092,-3.729,"---.---","---.---",50.435,"---.---","---.---","---.---","","","",""
1.020,-0.087,-3.731,"---.---","---.---",50.445,"---.---","---.---","---.---","","","",""
1.030,-0.080,-3.747,"---.---","---.---",50.479,"---.---","---.---","---.---","","","",""
1.040,-0.075,-3.762,"---.---","---.---",50.532,"---.---","---.---","---.---","","","",""
1.050,-0.072,-3.763,"---.---","---.---",50.576,"---.---","---.---","---.---","","","",""
1.060,-0.072,-3.757,"---.---","---.---",50.586,"---.---","---.---","---.---","","","",""
1.070,-0.068,-3.747,"---.---","---.---",50.562,"---.---","---.---","---.---","","","",""
1.080,-0.060,-3.739,"---.---","---.---",50.542,"---.---","---.---","---.---","","","",""
1.090,-0.056,-3.743,"---.---","---.---",50.523,"---.---","---.---","---.---","","","",""
1.100,-0.043,-3.748,"---.---","---.---",50.523,"---.---","---.---","---.---","","","",""
1.110,-0.031,-3.758,"---.---","---.---",50.513,"---.---","---.---","---.---","","","",""
1.120,-0.022,-3.772,"---.---","---.---",50.518,"---.---","---.---","---.---","","","",""
1.130,-0.007,-3.785,"---.---","---.---",50.523,"---.---","---.---","---.---","","","",""
1.140,0.007,-3.794,"---.---","---.---",50.523,"---.---","---.---","---.---","","","",""
1.150,0.019,-3.801,"---.---","---.---",50.518,"---.---","---.---","---.---","","","",""
1.160,0.034,-3.809,"---.---","---.---",50.518,"---.---","---.---","---.---","","","",""
1.170,0.065,-3.812,"---.---","---.---",50.532,"---.---","---.---","---.---","","","",""
1.180,0.092,-3.799,"---.---","---.---",50.586,"---.---","---.---","---.---","","","",""
1.190,0.133,-3.780,"---.---","---.---",50.596,"---.---","---.---","---.---","","","",""
1.200,0.169,-3.766,"---.---","---.---",50.571,"---.---","---.---","---.---","","","",""
1.210,0.208,-3.755,"---.---","---.---",50.537,"---.---","---.---","---.---","","","",""
1.220,0.239,-3.756,"---.---","---.---",50.503,"---.---","---.---","---.---","","","",""
1.230,0.261,-3.753,"---.---","---.---",50.488,"---.---","---.---","---.---","","","",""
1.240,0.287,-3.748,"---.---","---.---",50.503,"---.---","---.---","---.---","","","",""
1.250,0.319,-3.740,"---.---","---.---",50.547,"---.---","---.---","---.---","","","",""
1.260,0.352,-3.721,"---.---","---.---",50.576,"---.---","---.---","---.---","","","",""
1.270,0.391,-3.695,"---.---","---.---",50.552,"---.---","---.---","---.---","","","",""
1.280,0.425,-3.679,"---.---","---.---",50.513,"---.---","---.---","---.---","","","",""
1.290,0.456,-3.658,"---.---","---.---",50.513,"---.---","---.---","---.---","","","",""
1.300,0.480,-3.639,"---.---","---.---",50.542,"---.---","---.---","---.---","","","",""
1.310,0.504,-3.620,"---.---","---.---",50.571,"---.---","---.---","---.---","","","",""
1.320,0.528,-3.597,"---.---","---.---",50.581,"---.---","---.---","---.---","","","",""
1.330,0.543,-3.579,"---.---","---.---",50.557,"---.---","---.---","---.---","","","",""
1.340,0.551,-3.565,"---.---","---.---",50.508,"---.---","---.---","---.---","","","",""
1.350,0.556,-3.550,"---.---","---.---",50.479,"---.---","---.---","---.---","","","",""
1.360,0.559,-3.543,"---.---","---.---",50.445,"---.---","---.---","---.---","","","",""
1.370,0.559,-3.525,"---.---","---.---",50.459,"---.---","---.---","---.---","","","",""
1.380,0.568,-3.510,"---.---","---.---",50.469,"---.---","---.---","---.---","","","",""
1.390,0.573,-3.499,"---.---","---.---",50.474,"---.---","---.---","---.---","","","",""
1.400,0.587,-3.492,"---.---","---.---",50.484,"---.---","---.---","---.---","","","",""
1.410,0.597,-3.498,"---.---","---.---",50.488,"---.---","---.---","---.---","","","",""
1.420,0.609,-3.508,"---.---","---.---",50.518,"---.---","---.---","---.---","","","",""
1.430,0.625,-3.524,"---.---","---.---",50.552,"---.---","---.---","---.---","","","",""
1.440,0.639,-3.531,"---.---","---.---",50.567,"---.---","---.---","---.---","","","",""
1.450,0.666,-3.540,"---.---","---.---",50.547,"---.---","---.---","---.---","","","",""
1.460,0.693,-3.532,"---.---","---.---",50.513,"---.---","---.---","---.---","","","",""
1.470,0.718,-3.533,"---.---","---.---",50.498,"---.---","---.---","---.---","","","",""
1.480,0.739,-3.533,"---.---","---.---",50.518,"---.---","---.---","---.---","","","",""
1.490,0.753,-3.549,"---.---","---.---",50.532,"---.---","---.---","---.---","","","",""
1.500,0.770,-3.564,"---.---","---.---",50.542,"---.---","---.---","---.---","","","",""
1.510,0.782,-3.576,"---.---","---.---",50.542,"---.---","---.---","---.---","","","",""
1.520,0.794,-3.589,"---.---","---.---",50.542,"---.---","---.---","---.---","","","",""
1.530,0.794,-3.607,"---.---","---.---",50.552,"---.---","---.---","---.---","","","",""
1.540,0.794,-3.621,"---.---","---.---",50.557,"---.---","---.---","---.---","","","",""
1.550,0.784,-3.629,"---.---","---.---",50.557,"---.---","---.---","---.---","","","",""
1.560,0.772,-3.637,"---.---","---.---",50.552,"---.---","---.---","---.---","","","",""
1.570,0.762,-3.639,"---.---","---.---",50.562,"---.---","---.---","---.---","","","",""
1.580,0.750,-3.642,"---.---","---.---",50.576,"---.---","---.---","---.---","","","",""
1.590,0.743,-3.638,"---.---","---.---",50.576,"---.---","---.---","---.---","","","",""
1.600,0.739,-3.640,"---.---","---.---",50.547,"---.---","---.---","---.---","","","",""
1.610,0.732,-3.643,"---.---","---.---",50.523,"---.---","---.---","---.---","","","",""
1.620,0.722,-3.645,"---.---","---.---",50.493,"---.---","---.---","---.---","","","",""
1.630,0.706,-3.648,"---.---","---.---",50.469,"---.---","---.---","---.---","","","",""
1.640,0.687,-3.651,"---.---","---.---",50.464,"---.---","---.---","---.---","","","",""
1.650,0.667,-3.656,"---.---","---.---",50.484,"---.---","---.---","---.---","","","",""
1.660,0.640,-3.661,"---.---","---.---",50.508,"---.---","---.---","---.---","","","",""
1.670,0.616,-3.668,"---.---","---.---",50.523,"---.---","---.---","---.---","","","",""
1.680,0.577,-3.666,"---.---","---.---",50.513,"---.---","---.---","---.---","","","",""
1.690,0.522,-3.652,"---.---","---.---",50.449,"---.---","---.---","---.---","","","",""
1.700,0.453,-3.633,"---.---","---.---",50.396,"---.---","---.---","---.---","","","",""
1.710,0.390,-3.621,"---.---","---.---",50.401,"---.---","---.---","---.---","","","",""
1.720,0.341,-3.624,"---.---","---.---",50.474,"---.---","---.---","---.---","","","",""
1.730,0.304,-3.628,"---.---","---.---",50.552,"---.---","---.---","---.---","","","",""
1.740,0.268,-3.640,"---.---","---.---",50.606,"---.---","---.---","---.---","","","",""
1.750,0.236,-3.647,"---.---","---.---",50.640,"---.---","---.---","---.---","","","",""
1.760,0.202,-3.659,"---.---","---.---",50.635,"---.---","---.---","---.---","","","",""
1.770,0.173,-3.662,"---.---","---.---",50.630,"---.---","---.---","---.---","","","",""
1.780,0.147,-3.663,"---.---","---.---",50.596,"---.---","---.---","---.---","","","",""
1.790,0.130,-3.668,"---.---","---.---",50.581,"---.---","---.---","---.---","","","",""
1.800,0.111,-3.675,"---.---","---.---",50.596,"---.---","---.---","---.---","","","",""
1.810,0.092,-3.691,"---.---","---.---",50.610,"---.---","---.---","---.---","","","",""
1.820,0.077,-3.702,"---.---","---.---",50.606,"---.---","---.---","---.---","","","",""
1.830,0.065,-3.720,"---.---","---.---",50.571,"---.---","---.---","---.---","","","",""
1.840,0.053,-3.738,"---.---","---.---",50.537,"---.---","---.---","---.---","","","",""
1.850,0.051,-3.756,"---.---","---.---",50.503,"---.---","---.---","---.---","","","",""
1.860,0.048,-3.778,"---.---","---.---",50.488,"---.---","---.---","---.---","","","",""
1.870,0.048,-3.805,"---.---","---.---",50.498,"---.---","---.---","---.---","","","",""
1.880,0.053,-3.834,"---.---","---.---",50.518,"---.---","---.---","---.---","","","",""
1.890,0.056,-3.866,"---.---","---.---",50.528,"---.---","---.---","---.---","","","",""
1.900,0.068,-3.891,"---.---","---.---",50.547,"---.---","---.---","---.---","","","",""
1.910,0.082,-3.916,"---.---","---.---",50.547,"---.---","---.---","---.---","","","",""
1.920,0.104,-3.940,"---.---","---.---",50.542,"---.---","---.---","---.---","","","",""
